school_year,semester,course_id,student_id,final_score
2023-2024,HK1,MTH10318,21280058,6
2023-2024,HK1,MTH10318,21280060,6.75
2023-2024,HK1,MTH10318,21280061,8.25
2023-2024,HK1,MTH10318,21280062,7.75
2023-2024,HK1,MTH10318,21280063,7.5
2023-2024,HK1,MTH10318,21280064,9
2023-2024,HK1,MTH10318,21280065,7.75
2023-2024,HK1,MTH10318,21280066,7.25
2023-2024,HK1,MTH10318,21280067,7.25
2023-2024,HK1,MTH10318,21280068,6.25
2023-2024,HK1,MTH10318,21280069,8.75
2023-2024,HK1,MTH10318,21280070,10
2023-2024,HK1,MTH10318,21280071,6.25
2023-2024,HK1,MTH10318,21280072,6.75
2023-2024,HK1,MTH10318,21280073,6
2023-2024,HK1,MTH10318,21280074,6.25
2023-2024,HK1,MTH10318,21280075,6.5
2023-2024,HK1,MTH10318,21280076,7
2023-2024,HK1,MTH10318,21280077,8
2023-2024,HK1,MTH10318,21280078,8
2023-2024,HK1,MTH10318,21280080,6
2023-2024,HK1,MTH10318,21280081,6.25
2023-2024,HK1,MTH10318,21280082,7.75
2023-2024,HK1,MTH10318,21280083,6
2023-2024,HK1,MTH10318,21280084,7
2023-2024,HK1,MTH10318,21280085,9
2023-2024,HK1,MTH10318,21280086,8.75
2023-2024,HK1,MTH10318,21280087,6.25
2023-2024,HK1,MTH10318,21280088,5
2023-2024,HK1,MTH10318,21280089,8
2023-2024,HK1,MTH10318,21280090,5.75
2023-2024,HK1,MTH10318,21280092,8.25
2023-2024,HK1,MTH10318,21280093,6
2023-2024,HK1,MTH10318,21280094,5.25
2023-2024,HK2,MTH10353,21280005,6.75
2023-2024,HK2,MTH10353,21280006,7
2023-2024,HK2,MTH10353,21280007,7
2023-2024,HK2,MTH10353,21280008,7.75
2023-2024,HK2,MTH10353,21280009,6.75
2023-2024,HK2,MTH10353,21280010,7.5
2023-2024,HK2,MTH10353,21280011,7.75
2023-2024,HK2,MTH10353,21280012,7.25
2023-2024,HK2,MTH10353,21280013,7.5
2023-2024,HK2,MTH10353,21280014,5.25
2023-2024,HK2,MTH10353,21280015,6.5
2023-2024,HK2,MTH10353,21280016,8
2023-2024,HK2,MTH10353,21280017,8.5
2023-2024,HK2,MTH10353,21280018,5.25
2023-2024,HK2,MTH10353,21280019,8.5
2023-2024,HK2,MTH10353,21280020,9
2023-2024,HK2,MTH10353,21280021,6.25
2023-2024,HK2,MTH10353,21280022,8.75
2023-2024,HK2,MTH10353,21280023,5.75
2023-2024,HK2,MTH10353,21280024,5.75
2023-2024,HK2,MTH10353,21280025,8
2023-2024,HK2,MTH10353,21280026,8.75
2023-2024,HK2,MTH10353,21280027,5.5
2023-2024,HK2,MTH10353,21280028,7.25
2023-2024,HK2,MTH10353,21280029,6.5
2023-2024,HK2,MTH10353,21280030,7.75
2023-2024,HK2,MTH10353,21280031,6.25
2023-2024,HK2,MTH10353,21280032,6
2023-2024,HK2,MTH10353,21280033,8.25
2023-2024,HK2,MTH10353,21280034,6.75
2023-2024,HK2,MTH10353,21280035,6.5
2023-2024,HK2,MTH10353,21280036,7.75
2023-2024,HK2,MTH10353,21280037,5.25
2023-2024,HK2,MTH10353,21280038,7.25
2023-2024,HK2,MTH10353,21280039,5.5
2023-2024,HK2,MTH10353,21280040,6.75
2023-2024,HK2,MTH10353,21280041,5.75
2023-2024,HK2,MTH10353,21280042,8.75
2023-2024,HK2,MTH10353,21280043,7.25
2023-2024,HK2,MTH10353,21280044,5.25
2023-2024,HK2,MTH10353,21280045,7.25
2023-2024,HK2,MTH10353,21280046,9
2023-2024,HK2,MTH10353,21280047,5
2023-2024,HK2,MTH10353,21280048,5.25
2023-2024,HK2,MTH10353,21280049,6.25
2023-2024,HK2,MTH10353,21280050,9
2023-2024,HK2,MTH10353,21280051,6.5
2023-2024,HK2,MTH10353,21280052,9
2023-2024,HK2,MTH10353,21280053,6
2023-2024,HK2,MTH10353,21280054,8
2023-2024,HK2,MTH10353,21280055,6.25
2023-2024,HK2,MTH10353,21280057,8.25
2023-2024,HK2,MTH10353,21280058,6
2023-2024,HK2,MTH10353,21280060,7
2023-2024,HK2,MTH10353,21280061,5.75
2023-2024,HK2,MTH10353,21280062,5.75
2023-2024,HK2,MTH10353,21280063,5.5
2023-2024,HK2,MTH10353,21280064,5.25
2023-2024,HK2,MTH10353,21280065,7.5
2023-2024,HK2,MTH10353,21280066,7.25
2023-2024,HK2,MTH10353,21280067,7.75
2023-2024,HK2,MTH10353,21280068,7.25
2023-2024,HK2,MTH10353,21280069,7.75
2023-2024,HK2,MTH10353,21280070,10
2023-2024,HK2,MTH10353,21280071,6.5
2023-2024,HK2,MTH10353,21280072,5.25
2023-2024,HK2,MTH10353,21280073,6
2023-2024,HK2,MTH10353,21280074,6.75
2023-2024,HK2,MTH10353,21280075,9
2023-2024,HK2,MTH10353,21280076,6.5
2023-2024,HK2,MTH10353,21280077,8.25
2023-2024,HK2,MTH10353,21280078,6.5
2023-2024,HK2,MTH10353,21280080,5.5
2023-2024,HK2,MTH10353,21280081,6.25
2023-2024,HK2,MTH10353,21280082,7.5
2023-2024,HK2,MTH10353,21280083,5.75
2023-2024,HK2,MTH10353,21280084,5.25
2023-2024,HK2,MTH10353,21280085,7
2023-2024,HK2,MTH10353,21280086,7.25
2023-2024,HK2,MTH10353,21280087,7.75
2023-2024,HK2,MTH10353,21280088,5
2023-2024,HK2,MTH10353,21280089,7.5
2023-2024,HK2,MTH10353,21280090,6.25
2023-2024,HK2,MTH10353,21280092,5
2023-2024,HK2,MTH10353,21280093,5
2023-2024,HK2,MTH10353,21280094,7.75
2023-2024,HK2,MTH10358,21280005,7
2023-2024,HK2,MTH10358,21280006,8.75
2023-2024,HK2,MTH10358,21280007,8.25
2023-2024,HK2,MTH10358,21280008,6.25
2023-2024,HK2,MTH10358,21280009,5
2023-2024,HK2,MTH10358,21280010,6
2023-2024,HK2,MTH10358,21280011,8.5
2023-2024,HK2,MTH10358,21280012,7
2023-2024,HK2,MTH10358,21280013,8.5
2023-2024,HK2,MTH10358,21280014,6.75
2023-2024,HK2,MTH10358,21280015,7.25
2023-2024,HK2,MTH10358,21280016,5.75
2023-2024,HK2,MTH10358,21280017,7.25
2023-2024,HK2,MTH10358,21280018,6
2023-2024,HK2,MTH10358,21280019,6.5
2023-2024,HK2,MTH10358,21280020,7.75
2023-2024,HK2,MTH10358,21280021,8.25
2023-2024,HK2,MTH10358,21280022,8.25
2023-2024,HK2,MTH10358,21280023,8.75
2023-2024,HK2,MTH10358,21280024,6.75
2023-2024,HK2,MTH10358,21280025,7.5
2023-2024,HK2,MTH10358,21280026,6.25
2023-2024,HK2,MTH10358,21280027,5.75
2023-2024,HK2,MTH10358,21280028,8.5
2023-2024,HK2,MTH10358,21280029,7.5
2023-2024,HK2,MTH10358,21280030,8.25
2023-2024,HK2,MTH10358,21280031,5.25
2023-2024,HK2,MTH10358,21280032,5
2023-2024,HK2,MTH10358,21280033,5.25
2023-2024,HK2,MTH10358,21280034,5.25
2023-2024,HK2,MTH10358,21280035,6.75
2023-2024,HK2,MTH10358,21280036,7.25
2023-2024,HK2,MTH10358,21280037,5.5
2023-2024,HK2,MTH10358,21280038,6.25
2023-2024,HK2,MTH10358,21280039,8.25
2023-2024,HK2,MTH10358,21280040,6.25
2023-2024,HK2,MTH10358,21280041,7.5
2023-2024,HK2,MTH10358,21280042,5.5
2023-2024,HK2,MTH10358,21280043,6.25
2023-2024,HK2,MTH10358,21280044,7
2023-2024,HK2,MTH10358,21280045,7
2023-2024,HK2,MTH10358,21280046,5.5
2023-2024,HK2,MTH10358,21280047,6.5
2023-2024,HK2,MTH10358,21280048,5.75
2023-2024,HK2,MTH10358,21280049,8.25
2023-2024,HK2,MTH10358,21280050,5.25
2023-2024,HK2,MTH10358,21280051,5.5
2023-2024,HK2,MTH10358,21280052,8.75
2023-2024,HK2,MTH10358,21280053,6.75
2023-2024,HK2,MTH10358,21280054,5
2023-2024,HK2,MTH10358,21280055,8.25
2023-2024,HK2,MTH10358,21280057,7.25
2023-2024,HK2,MTH10358,21280058,6.25
2023-2024,HK2,MTH10358,21280060,8.75
2023-2024,HK2,MTH10358,21280061,7.75
2023-2024,HK2,MTH10358,21280062,7.25
2023-2024,HK2,MTH10358,21280063,8.5
2023-2024,HK2,MTH10358,21280064,8.75
2023-2024,HK2,MTH10358,21280065,9
2023-2024,HK2,MTH10358,21280066,7.5
2023-2024,HK2,MTH10358,21280067,8
2023-2024,HK2,MTH10358,21280068,9
2023-2024,HK2,MTH10358,21280069,6.5
2023-2024,HK2,MTH10358,21280070,10
2023-2024,HK2,MTH10358,21280071,5.75
2023-2024,HK2,MTH10358,21280072,7
2023-2024,HK2,MTH10358,21280073,8.25
2023-2024,HK2,MTH10358,21280074,8
2023-2024,HK2,MTH10358,21280075,5.75
2023-2024,HK2,MTH10358,21280076,7.5
2023-2024,HK2,MTH10358,21280077,5.75
2023-2024,HK2,MTH10358,21280078,5.75
2023-2024,HK2,MTH10358,21280080,6
2023-2024,HK2,MTH10358,21280081,6.5
2023-2024,HK2,MTH10358,21280082,5.75
2023-2024,HK2,MTH10358,21280083,8.75
2023-2024,HK2,MTH10358,21280084,6
2023-2024,HK2,MTH10358,21280085,5.5
2023-2024,HK2,MTH10358,21280086,5.25
2023-2024,HK2,MTH10358,21280087,5.5
2023-2024,HK2,MTH10358,21280088,7
2023-2024,HK2,MTH10358,21280089,7.5
2023-2024,HK2,MTH10358,21280090,8.5
2023-2024,HK2,MTH10358,21280092,8.5
2023-2024,HK2,MTH10358,21280093,8.5
2023-2024,HK2,MTH10358,21280094,5.5
2023-2024,HK1,MTH10605,21280005,8.25
2023-2024,HK1,MTH10605,21280006,8.5
2023-2024,HK1,MTH10605,21280007,6.25
2023-2024,HK1,MTH10605,21280008,5.25
2023-2024,HK1,MTH10605,21280009,8.75
2023-2024,HK1,MTH10605,21280010,8.25
2023-2024,HK1,MTH10605,21280011,8.25
2023-2024,HK1,MTH10605,21280012,8
2023-2024,HK1,MTH10605,21280013,5
2023-2024,HK1,MTH10605,21280014,5.5
2023-2024,HK1,MTH10605,21280015,5.25
2023-2024,HK1,MTH10605,21280016,5.75
2023-2024,HK1,MTH10605,21280017,8.75
2023-2024,HK1,MTH10605,21280018,7.5
2023-2024,HK1,MTH10605,21280019,8.75
2023-2024,HK1,MTH10605,21280020,5
2023-2024,HK1,MTH10605,21280021,5.5
2023-2024,HK1,MTH10605,21280022,6.25
2023-2024,HK1,MTH10605,21280023,5.5
2023-2024,HK1,MTH10605,21280024,7.75
2023-2024,HK1,MTH10605,21280025,8.5
2023-2024,HK1,MTH10605,21280026,5
2023-2024,HK1,MTH10605,21280027,7
2023-2024,HK1,MTH10605,21280028,7.75
2023-2024,HK1,MTH10605,21280029,6.75
2023-2024,HK1,MTH10605,21280030,6.5
2023-2024,HK1,MTH10605,21280031,8
2023-2024,HK1,MTH10605,21280032,7.5
2023-2024,HK1,MTH10605,21280033,8
2023-2024,HK1,MTH10605,21280034,6.25
2023-2024,HK1,MTH10605,21280035,5.25
2023-2024,HK1,MTH10605,21280036,6
2023-2024,HK1,MTH10605,21280037,6.25
2023-2024,HK1,MTH10605,21280038,6.25
2023-2024,HK1,MTH10605,21280039,5.75
2023-2024,HK1,MTH10605,21280040,9
2023-2024,HK1,MTH10605,21280041,5.5
2023-2024,HK1,MTH10605,21280042,5.25
2023-2024,HK1,MTH10605,21280043,8.75
2023-2024,HK1,MTH10605,21280044,8.5
2023-2024,HK1,MTH10605,21280045,5
2023-2024,HK1,MTH10605,21280046,6.75
2023-2024,HK1,MTH10605,21280047,6.5
2023-2024,HK1,MTH10605,21280048,7.25
2023-2024,HK1,MTH10605,21280049,6.75
2023-2024,HK1,MTH10605,21280050,5
2023-2024,HK1,MTH10605,21280051,5
2023-2024,HK1,MTH10605,21280052,8.75
2023-2024,HK1,MTH10605,21280053,7
2023-2024,HK1,MTH10605,21280054,5
2023-2024,HK1,MTH10605,21280055,5.75
2023-2024,HK1,MTH10605,21280057,5.25
2023-2024,HK1,MTH10605,21280058,5
2023-2024,HK1,MTH10605,21280060,5.5
2023-2024,HK1,MTH10605,21280061,9
2023-2024,HK1,MTH10605,21280062,7.75
2023-2024,HK1,MTH10605,21280063,5.25
2023-2024,HK1,MTH10605,21280064,5.75
2023-2024,HK1,MTH10605,21280065,8.25
2023-2024,HK1,MTH10605,21280066,7
2023-2024,HK1,MTH10605,21280067,9
2023-2024,HK1,MTH10605,21280068,8.75
2023-2024,HK1,MTH10605,21280069,5.25
2023-2024,HK1,MTH10605,21280070,10
2023-2024,HK1,MTH10605,21280071,7
2023-2024,HK1,MTH10605,21280072,9
2023-2024,HK1,MTH10605,21280073,5.25
2023-2024,HK1,MTH10605,21280074,7.75
2023-2024,HK1,MTH10605,21280075,7.25
2023-2024,HK1,MTH10605,21280076,9
2023-2024,HK1,MTH10605,21280077,7
2023-2024,HK1,MTH10605,21280078,8.75
2023-2024,HK1,MTH10605,21280080,5.5
2023-2024,HK1,MTH10605,21280081,8.75
2023-2024,HK1,MTH10605,21280082,5.5
2023-2024,HK1,MTH10605,21280083,6.5
2023-2024,HK1,MTH10605,21280084,7
2023-2024,HK1,MTH10605,21280085,5.5
2023-2024,HK1,MTH10605,21280086,7
2023-2024,HK1,MTH10605,21280087,7
2023-2024,HK1,MTH10605,21280088,8.5
2023-2024,HK1,MTH10605,21280089,7.5
2023-2024,HK1,MTH10605,21280090,5
2023-2024,HK1,MTH10605,21280092,7
2023-2024,HK1,MTH10605,21280093,7.25
2023-2024,HK1,MTH10605,21280094,6.75
2023-2024,HK2,MTH10203,21280005,9
2023-2024,HK2,MTH10203,21280010,6.25
2023-2024,HK2,MTH10203,21280011,6
2023-2024,HK2,MTH10203,21280012,6
2023-2024,HK2,MTH10203,21280013,7.75
2023-2024,HK2,MTH10203,21280015,7.75
2023-2024,HK2,MTH10203,21280016,5
2023-2024,HK2,MTH10203,21280017,8
2023-2024,HK2,MTH10203,21280018,6.5
2023-2024,HK2,MTH10203,21280019,5.25
2023-2024,HK2,MTH10203,21280021,8.5
2023-2024,HK2,MTH10203,21280023,8.75
2023-2024,HK2,MTH10203,21280025,6.25
2023-2024,HK2,MTH10203,21280026,5
2023-2024,HK2,MTH10203,21280027,8.5
2023-2024,HK2,MTH10203,21280034,9
2023-2024,HK2,MTH10203,21280036,8.5
2023-2024,HK2,MTH10203,21280038,5
2023-2024,HK2,MTH10203,21280039,5
2023-2024,HK2,MTH10203,21280040,8
2023-2024,HK2,MTH10203,21280041,5.75
2023-2024,HK2,MTH10203,21280043,6.25
2023-2024,HK2,MTH10203,21280046,8.75
2023-2024,HK2,MTH10203,21280050,9
2023-2024,HK2,MTH10203,21280051,8.5
2023-2024,HK2,MTH10203,21280052,7.75
2023-2024,HK2,MTH10203,21280054,8
2023-2024,HK2,MTH10203,21280061,6.75
2023-2024,HK2,MTH10203,21280066,8.25
2023-2024,HK2,MTH10203,21280067,8.5
2023-2024,HK2,MTH10203,21280072,6
2023-2024,HK2,MTH10203,21280074,5
2023-2024,HK2,MTH10203,21280076,6.25
2023-2024,HK2,MTH10203,21280077,7.25
2023-2024,HK2,MTH10203,21280080,5.75
2023-2024,HK2,MTH10203,21280081,5.75
2023-2024,HK2,MTH10203,21280082,6.75
2023-2024,HK2,MTH10203,21280084,5.75
2023-2024,HK2,MTH10203,21280088,9
2023-2024,HK2,MTH10203,21280089,6
2023-2024,HK2,MTH10203,21280090,8.5
2023-2024,HK2,MTH10203,21280092,5.5
2023-2024,HK2,MTH10203,21280094,8.25
2023-2024,HK1,MTH10322,21280010,5.5
2023-2024,HK1,MTH10322,21280012,7.25
2023-2024,HK1,MTH10322,21280015,6.5
2023-2024,HK1,MTH10322,21280019,5.25
2023-2024,HK1,MTH10322,21280021,6
2023-2024,HK1,MTH10322,21280022,6.5
2023-2024,HK1,MTH10322,21280024,8.5
2023-2024,HK1,MTH10322,21280027,6
2023-2024,HK1,MTH10322,21280029,5
2023-2024,HK1,MTH10322,21280030,7.5
2023-2024,HK1,MTH10322,21280031,8.75
2023-2024,HK1,MTH10322,21280032,6.75
2023-2024,HK1,MTH10322,21280033,5
2023-2024,HK1,MTH10322,21280034,8.75
2023-2024,HK1,MTH10322,21280037,7.75
2023-2024,HK1,MTH10322,21280039,7.25
2023-2024,HK1,MTH10322,21280042,7.25
2023-2024,HK1,MTH10322,21280043,5.75
2023-2024,HK1,MTH10322,21280047,7.75
2023-2024,HK1,MTH10322,21280048,7.75
2023-2024,HK1,MTH10322,21280049,6.75
2023-2024,HK1,MTH10322,21280050,5.75
2023-2024,HK1,MTH10322,21280052,6.25
2023-2024,HK1,MTH10322,21280053,5.75
2023-2024,HK1,MTH10322,21280055,8.75
2023-2024,HK1,MTH10322,21280057,5.25
2023-2024,HK1,MTH10322,21280060,7.75
2023-2024,HK1,MTH10322,21280062,5
2023-2024,HK1,MTH10322,21280063,8.25
2023-2024,HK1,MTH10322,21280064,8.5
2023-2024,HK1,MTH10322,21280065,6
2023-2024,HK1,MTH10322,21280068,6
2023-2024,HK1,MTH10322,21280071,5.5
2023-2024,HK1,MTH10322,21280077,7
2023-2024,HK1,MTH10322,21280078,8.25
2023-2024,HK1,MTH10322,21280080,5.5
2023-2024,HK1,MTH10322,21280081,6.25
2023-2024,HK1,MTH10322,21280085,7.75
2023-2024,HK1,MTH10322,21280090,7.75
2023-2024,HK2,MTH10344,21280006,6
2023-2024,HK2,MTH10344,21280008,5
2023-2024,HK2,MTH10344,21280009,6.75
2023-2024,HK2,MTH10344,21280011,8
2023-2024,HK2,MTH10344,21280012,5
2023-2024,HK2,MTH10344,21280015,5.75
2023-2024,HK2,MTH10344,21280017,5.25
2023-2024,HK2,MTH10344,21280018,5.5
2023-2024,HK2,MTH10344,21280020,5.5
2023-2024,HK2,MTH10344,21280022,9
2023-2024,HK2,MTH10344,21280024,7
2023-2024,HK2,MTH10344,21280025,7
2023-2024,HK2,MTH10344,21280026,8.5
2023-2024,HK2,MTH10344,21280028,8.5
2023-2024,HK2,MTH10344,21280033,8.25
2023-2024,HK2,MTH10344,21280034,7
2023-2024,HK2,MTH10344,21280035,6.5
2023-2024,HK2,MTH10344,21280038,8
2023-2024,HK2,MTH10344,21280040,8.5
2023-2024,HK2,MTH10344,21280045,8.25
2023-2024,HK2,MTH10344,21280047,5.25
2023-2024,HK2,MTH10344,21280048,5.5
2023-2024,HK2,MTH10344,21280050,9
2023-2024,HK2,MTH10344,21280053,6
2023-2024,HK2,MTH10344,21280057,8.5
2023-2024,HK2,MTH10344,21280058,8.5
2023-2024,HK2,MTH10344,21280060,7.25
2023-2024,HK2,MTH10344,21280062,6.75
2023-2024,HK2,MTH10344,21280066,7
2023-2024,HK2,MTH10344,21280067,7.75
2023-2024,HK2,MTH10344,21280069,7.75
2023-2024,HK2,MTH10344,21280070,5
2023-2024,HK2,MTH10344,21280072,8
2023-2024,HK2,MTH10344,21280075,6.75
2023-2024,HK2,MTH10344,21280078,9
2023-2024,HK2,MTH10344,21280080,6.5
2023-2024,HK2,MTH10344,21280082,7.5
2023-2024,HK2,MTH10344,21280088,8.25
2023-2024,HK2,MTH10352,21280005,8
2023-2024,HK2,MTH10352,21280006,5.75
2023-2024,HK2,MTH10352,21280007,5
2023-2024,HK2,MTH10352,21280009,5.75
2023-2024,HK2,MTH10352,21280010,7.25
2023-2024,HK2,MTH10352,21280011,7.25
2023-2024,HK2,MTH10352,21280012,5
2023-2024,HK2,MTH10352,21280016,5
2023-2024,HK2,MTH10352,21280017,5.25
2023-2024,HK2,MTH10352,21280018,8.5
2023-2024,HK2,MTH10352,21280021,5.5
2023-2024,HK2,MTH10352,21280022,8.5
2023-2024,HK2,MTH10352,21280024,5.25
2023-2024,HK2,MTH10352,21280025,5.75
2023-2024,HK2,MTH10352,21280026,8
2023-2024,HK2,MTH10352,21280027,7
2023-2024,HK2,MTH10352,21280028,7.75
2023-2024,HK2,MTH10352,21280035,8.5
2023-2024,HK2,MTH10352,21280036,8
2023-2024,HK2,MTH10352,21280037,7.5
2023-2024,HK2,MTH10352,21280039,8.5
2023-2024,HK2,MTH10352,21280043,5
2023-2024,HK2,MTH10352,21280045,7
2023-2024,HK2,MTH10352,21280047,8.25
2023-2024,HK2,MTH10352,21280049,8.25
2023-2024,HK2,MTH10352,21280051,6.25
2023-2024,HK2,MTH10352,21280057,6.5
2023-2024,HK2,MTH10352,21280058,7.75
2023-2024,HK2,MTH10352,21280061,5.5
2023-2024,HK2,MTH10352,21280062,5.5
2023-2024,HK2,MTH10352,21280064,7.25
2023-2024,HK2,MTH10352,21280065,7.5
2023-2024,HK2,MTH10352,21280066,8.5
2023-2024,HK2,MTH10352,21280068,6
2023-2024,HK2,MTH10352,21280070,7.25
2023-2024,HK2,MTH10352,21280072,8.25
2023-2024,HK2,MTH10352,21280074,5
2023-2024,HK2,MTH10352,21280076,7.25
2023-2024,HK2,MTH10352,21280080,5
2023-2024,HK2,MTH10352,21280084,6
2023-2024,HK2,MTH10352,21280085,7.25
2023-2024,HK2,MTH10352,21280086,6
2023-2024,HK2,MTH10352,21280088,5.5
2023-2024,HK2,MTH10352,21280093,5.75
2023-2024,HK2,MTH10352,21280094,6.25
2024-2025,HK1,MTH10354,21280007,5.75
2024-2025,HK1,MTH10354,21280008,7.75
2024-2025,HK1,MTH10354,21280015,8
2024-2025,HK1,MTH10354,21280017,7.25
2024-2025,HK1,MTH10354,21280018,8.5
2024-2025,HK1,MTH10354,21280020,5.25
2024-2025,HK1,MTH10354,21280021,5.75
2024-2025,HK1,MTH10354,21280022,7.75
2024-2025,HK1,MTH10354,21280026,7.75
2024-2025,HK1,MTH10354,21280027,5.25
2024-2025,HK1,MTH10354,21280028,8.25
2024-2025,HK1,MTH10354,21280029,6.75
2024-2025,HK1,MTH10354,21280031,7.75
2024-2025,HK1,MTH10354,21280032,9
2024-2025,HK1,MTH10354,21280034,8.5
2024-2025,HK1,MTH10354,21280036,8.75
2024-2025,HK1,MTH10354,21280037,5
2024-2025,HK1,MTH10354,21280039,8
2024-2025,HK1,MTH10354,21280043,8.75
2024-2025,HK1,MTH10354,21280046,5.25
2024-2025,HK1,MTH10354,21280049,7
2024-2025,HK1,MTH10354,21280051,5.5
2024-2025,HK1,MTH10354,21280052,8
2024-2025,HK1,MTH10354,21280055,5.5
2024-2025,HK1,MTH10354,21280064,8.5
2024-2025,HK1,MTH10354,21280065,8.75
2024-2025,HK1,MTH10354,21280067,7.25
2024-2025,HK1,MTH10354,21280069,9
2024-2025,HK1,MTH10354,21280070,5.25
2024-2025,HK1,MTH10354,21280078,5
2024-2025,HK1,MTH10354,21280084,6
2024-2025,HK1,MTH10354,21280085,5.5
2024-2025,HK1,MTH10354,21280086,9
2024-2025,HK1,MTH10354,21280087,6
2024-2025,HK1,MTH10354,21280089,6.25
2024-2025,HK1,MTH10354,21280090,5.5
2024-2025,HK1,MTH10354,21280094,7
2024-2025,HK1,MTH10356,21280006,7.75
2024-2025,HK1,MTH10356,21280008,5.25
2024-2025,HK1,MTH10356,21280010,7.75
2024-2025,HK1,MTH10356,21280013,6.5
2024-2025,HK1,MTH10356,21280018,6.25
2024-2025,HK1,MTH10356,21280020,6.5
2024-2025,HK1,MTH10356,21280021,8.5
2024-2025,HK1,MTH10356,21280029,8.5
2024-2025,HK1,MTH10356,21280030,8.75
2024-2025,HK1,MTH10356,21280031,7.75
2024-2025,HK1,MTH10356,21280033,8.75
2024-2025,HK1,MTH10356,21280035,7.25
2024-2025,HK1,MTH10356,21280039,5
2024-2025,HK1,MTH10356,21280041,6
2024-2025,HK1,MTH10356,21280045,5.25
2024-2025,HK1,MTH10356,21280049,6.75
2024-2025,HK1,MTH10356,21280050,6.75
2024-2025,HK1,MTH10356,21280053,7.5
2024-2025,HK1,MTH10356,21280055,5.5
2024-2025,HK1,MTH10356,21280062,7.5
2024-2025,HK1,MTH10356,21280063,8.75
2024-2025,HK1,MTH10356,21280064,7.75
2024-2025,HK1,MTH10356,21280067,7.75
2024-2025,HK1,MTH10356,21280068,7.75
2024-2025,HK1,MTH10356,21280070,5.5
2024-2025,HK1,MTH10356,21280071,8.5
2024-2025,HK1,MTH10356,21280072,9
2024-2025,HK1,MTH10356,21280073,7.5
2024-2025,HK1,MTH10356,21280074,5.75
2024-2025,HK1,MTH10356,21280075,6.5
2024-2025,HK1,MTH10356,21280078,9
2024-2025,HK1,MTH10356,21280080,8.25
2024-2025,HK1,MTH10356,21280084,9
2024-2025,HK1,MTH10356,21280085,5.5
2024-2025,HK1,MTH10356,21280086,6.75
2024-2025,HK1,MTH10356,21280090,8.25
2024-2025,HK1,MTH10356,21280092,7
2024-2025,HK1,MTH10356,21280093,6.5
2023-2024,HK2,MTH10359,21280007,6.5
2023-2024,HK2,MTH10359,21280009,6
2023-2024,HK2,MTH10359,21280010,6.5
2023-2024,HK2,MTH10359,21280011,6.25
2023-2024,HK2,MTH10359,21280013,5
2023-2024,HK2,MTH10359,21280014,8.25
2023-2024,HK2,MTH10359,21280015,9
2023-2024,HK2,MTH10359,21280016,9
2023-2024,HK2,MTH10359,21280017,7.5
2023-2024,HK2,MTH10359,21280023,8
2023-2024,HK2,MTH10359,21280026,8
2023-2024,HK2,MTH10359,21280028,8
